# Time-averaged data for fix fheat
# TimeStep f_bbot f_btop
67600 -10.9471 12.9482
67700 -12.2064 12.1805
67800 -11.3671 12.3405
67900 -10.822 12.5734
68000 -9.77878 11.8865
68100 -9.77788 11.0077
68200 -12.6612 10.8254
68300 -11.0519 11.3499
68400 -9.63358 11.0021
68500 -10.3703 11.2975
68600 -10.6676 12.1561
68700 -12.1878 11.3745
68800 -12.0874 11.7256
68900 -9.97701 11.5528
69000 -9.77905 12.1822
69100 -9.58151 11.31
69200 -9.49044 10.7066
69300 -9.53107 11.0577
69400 -10.1399 11.8152
69500 -9.99506 11.2595
69600 -10.5392 11.6136
69700 -10.1149 12.2633
69800 -9.84263 12.0042
69900 -10.2496 13.034
70000 -9.86288 12.1692
70100 -10.2358 12.891
70200 -10.9021 12.2249
70300 -10.8457 12.3509
70400 -11.2591 11.748
70500 -11.1418 11.4112
70600 -11.1882 11.3588
70700 -10.7612 11.271
70800 -9.70815 11.327
70900 -10.3048 11.1785
71000 -10.1482 10.4104
71100 -10.563 11.486
71200 -11.181 12.9576
71300 -11.3561 13.3189
71400 -12.4913 12.6082
71500 -13.816 12.5758
71600 -11.9324 11.7744
71700 -12.2557 12.2961
71800 -12.1904 12.4435
71900 -11.2019 13.2399
72000 -10.2667 13.982
72100 -11.1762 14.2767
72200 -11.7031 14.4938
72300 -11.5023 13.5238
72400 -11.1326 13.5743
72500 -12.3222 13.6382
72600 -12.5239 13.1738
72700 -12.0817 13.584
72800 -11.4855 13.2072
72900 -11.2674 14.2268
73000 -8.99433 12.9075
73100 -9.32078 14.8325
73200 -10.7683 14.431
73300 -10.717 13.3952
73400 -10.9158 13.6269
73500 -11.922 14.525
73600 -12.9556 14.1818
73700 -11.1415 13.8631
73800 -11.2437 13.0734
73900 -11.3514 14.4767
74000 -11.3659 13.5575
74100 -12.0442 13.8751
74200 -11.8454 13.2963
74300 -12.4701 14.8766
74400 -12.1988 14.5292
74500 -12.6359 12.6416
74600 -13.004 12.8614
74700 -13.2083 14.0063
74800 -12.3853 14.0392
74900 -11.9486 13.5252
75000 -11.461 13.2535
75100 -11.5216 14.0444
75200 -12.6341 14.2729
75300 -10.8794 14.9399
75400 -11.7457 14.4255
75500 -12.0606 14.1493
75600 -11.5751 13.057
75700 -10.8818 12.7033
75800 -11.7628 13.5693
75900 -12.5587 14.4144
76000 -11.3184 15.0815
76100 -11.4829 14.4711
76200 -11.9453 13.1291
76300 -11.2812 13.4697
76400 -12.543 13.7649
76500 -14.0996 13.5279
76600 -14.1859 14.1151
76700 -12.2234 14.6082
76800 -11.3662 14.7804
76900 -10.5437 14.4207
77000 -9.78664 14.7586
77100 -11.1178 15.2116
77200 -11.1967 13.9227
77300 -9.10443 13.7228
77400 -11.4313 14.342
77500 -13.0391 13.8851
77600 -11.4315 13.4097
77700 -12.1535 14.4439
77800 -11.0978 14.7712
77900 -11.1849 14.6355
78000 -11.2587 14.479
78100 -12.8719 14.2752
78200 -12.2096 14.8541
78300 -10.9991 13.9244
78400 -9.53976 13.3116
78500 -10.629 13.4755
78600 -11.2943 13.8255
78700 -11.7912 13.8977
78800 -12.4199 13.7706
78900 -11.8193 13.7063
79000 -11.2876 13.9394
79100 -11.7052 13.6142
79200 -11.5371 12.6137
79300 -12.2722 12.3326
79400 -11.2696 13.1346
79500 -10.8856 13.0214
79600 -11.0733 12.9392
79700 -11.2221 12.9332
79800 -11.4138 11.9583
79900 -12.7928 12.9351
80000 -14.3622 12.4197
80100 -11.6621 13.2177
80200 -12.3155 12.6301
80300 -11.0153 13.343
80400 -10.6755 12.811
80500 -10.7081 13.1254
80600 -11.3525 13.5862
80700 -10.0314 13.3614
80800 -10.8929 13.0234
80900 -12.1996 12.5191
81000 -10.2271 14.5356
81100 -11.2614 13.5966
81200 -11.1092 13.9446
81300 -12.3924 13.7006
81400 -12.4343 11.6318
81500 -12.1544 12.6932
81600 -11.8166 11.7096
81700 -10.6089 11.4912
81800 -12.7569 12.8685
81900 -12.9655 13.571
82000 -12.1383 13.6588
82100 -11.7556 12.6997
82200 -11.6094 13.2986
82300 -13.1221 12.9822
82400 -13.4211 13.7646
82500 -12.6482 12.1622
82600 -11.3677 13.307
82700 -12.57 13.9338
82800 -12.625 14.5253
82900 -13.9038 14.5459
83000 -13.7088 14.3947
83100 -13.0859 13.3164
83200 -14.6802 13.7803
83300 -12.8715 13.6613
83400 -11.1419 14.2827
83500 -10.9429 14.0362
83600 -11.2661 14.2277
83700 -12.8102 14.2576
