# Time-averaged data for fix fpxz
# TimeStep v_pxz
158100 -115.717
158200 -620.811
158300 -308.367
158400 206.914
158500 258.004
158600 -144.76
158700 -263.017
158800 253.991
158900 249.854
159000 -504.816
159100 331.303
159200 432.467
159300 195.716
159400 372.398
159500 -271.158
159600 23.9556
159700 -25.4898
159800 -714.756
159900 16.5384
160000 253.776
160100 0.629155
160200 273.754
160300 -23.3761
160400 -29.2696
160500 105.392
160600 54.7934
160700 67.531
160800 -179.197
160900 170.311
161000 -648.148
161100 -120.967
161200 13.7673
161300 179.648
161400 -35.9554
161500 -230.487
161600 -386.177
161700 -488.081
161800 -649.888
161900 -837.461
162000 -402.12
162100 -638.115
162200 -180.201
162300 -375.433
162400 -767.308
162500 144.852
162600 10.201
162700 -295.482
162800 43.4608
162900 -646.403
163000 -257.955
163100 -411.505
163200 -40.7269
163300 -636.284
163400 131.935
163500 103.159
163600 -110.438
163700 -393.258
163800 -62.129
163900 221.135
164000 -126.275
164100 -659.603
164200 -462.907
164300 -144.075
164400 -643.917
164500 -390.502
164600 -144.218
164700 -259.287
164800 0.266762
164900 127.783
165000 33.2912
165100 -292.76
165200 -309.984
165300 -356.48
165400 -392.256
165500 6.12571
165600 51.9064
165700 -231.457
165800 -2.0748
165900 29.5518
166000 -293.741
166100 -218.056
166200 37.7182
166300 -392.118
166400 -73.7408
166500 -113.372
166600 -393.82
166700 -66.6935
166800 6.36507
166900 -479.48
167000 -239.766
167100 -508.987
167200 -463.98
167300 -389.597
167400 -523.826
167500 -40.7976
167600 -575.085
167700 97.0612
167800 -237.481
167900 101.915
168000 -18.2145
168100 -135.902
168200 -419.856
168300 -271.527
168400 -42.6148
168500 -25.7308
168600 -127.826
168700 -358.238
168800 -486.592
168900 37.6793
169000 -46.495
169100 572.656
169200 203.869
169300 -211.487
169400 -779.426
169500 -290.867
169600 -948.987
169700 -641.925
169800 -453.844
169900 -378.268
170000 221.891
170100 -489.142
170200 -387.088
170300 -256.469
170400 -223.086
170500 -75.3967
170600 -632.698
170700 -320.883
170800 71.3052
170900 -329.757
171000 -194.682
171100 -84.7481
171200 -469.517
171300 -476.408
171400 -18.0125
171500 -151.237
171600 -221.558
171700 -59.3544
171800 -590.864
171900 -149.794
172000 -653.391
172100 -324.341
172200 -796.142
172300 -339.416
172400 -501.291
172500 -829.271
172600 -765.475
172700 -845.116
172800 -840.52
172900 -900.359
173000 -566.368
173100 -670.163
173200 147.177
173300 -546.559
173400 -922.883
173500 -546.805
173600 -902.799
173700 -459.975
173800 -94.9356
173900 -243.35
174000 -447.55
174100 -103.209
174200 239.968
174300 -135.046
174400 -239.741
